country,name_field,count
Peru,Tambopata Eco Lodge,30
Bolivia,del Bajo Madidi,20
Bolivia,Puerto Rico,18
Peru,Buen Retiro,12
Peru,Avireri-Vraem,12
Bolivia,Lagunas Santa Bárbara y Brava,11
Bolivia,Gran Mojos,11
Bolivia,La Muela del Diablo y el Cerro Pachajalla,10
Bolivia,Colcapirhua,8
Bolivia,Norte de Tiquipaya,7
Bolivia,Cuchilla de Chuquiaguillo y Quebradas del Rio Callapa,6
Bolivia,Gran Jardín de la Revolución,6
Bolivia,Bajo Paraguá,6
Peru,del Manu,6
Bolivia,Tsimane-Reo Maniquí,6
Bolivia,Cotapachi,6
Bolivia,Pasorapa,5
Peru,Sierra del Divisor,5
Peru,Tambopata Eco Lodge I,5
Peru,Bicentenario - Ayacucho,5
Bolivia,Valle de la Luna y Cactareo,5
Peru,Bosques de Neblina – Selva Central,5
Peru,Hakim & Cumorah,5
Bolivia,Eva Eva - Mosetenes,5
Bolivia,Auquisamaña,5
Bolivia,Jonkhomarca,5
Colombia,La Esperanza,4
Bolivia,Las Animas Putupampa,4
Peru,Alto Purús,4
Peru,Machiguenga,4
Bolivia,Bajo Paragua Concepción,4
Bolivia,La Cumbre (apacheta),4
Bolivia,San Rafael,4
Bolivia,Serran,4
Bolivia,Ibare-Mamoré,4
Peru,Oxapampa-Ashaninka-Yanesha,4
Bolivia,Taco Loma,4
Bolivia,Kenneth Lee,4
Peru,Tambopata,4
Colombia,El Paraíso,4
Bolivia,Laguna Concepción,3
Bolivia,Kaluyo,3
Bolivia,Jardín de Cactáceas de Bolivia,3
Bolivia,Juan Chulo,3
Peru,de Cutervo,3
Bolivia,Mallasa,3
Bolivia,Ríos Tahamanu y Orthon,3
Bolivia,Serranías de Igüembe,3
Peru,Santiago Comaina,3
Peru,Chayu Naín,3
Peru,Comunidad Nativa Nueva Unión,3
Peru,Megantoni,3
Peru,Don Aarón,3
Peru,El Bosque Encantado de Sho'llet,3
Peru,Gran Pajatén,3
Peru,Juningue,3
Peru,Huascaran,3
Bolivia,Incacasani Altamachi,3
Peru,Huimeki,3
Bolivia,"Cerros Challaloma, Condor Sama0a",3
Venezuela,Piedra de Cocuy,3
Bolivia,Cóndores Lakota,3
Bolivia,Bosque de Algarrobo Tiataco,3
Bolivia,Chapare,3
French Guiana,Piste de l'Anse,3
Bolivia,Chiquitos,3
